node,label,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,clustering_coef,core_number
181,HBDIS001882,8,1.581217,0.03389126081535497,0.12004417690806915,0.0067362023099305154,0.0014192908625375608,0.06318883207888097,5
182,HBDIS001889,7,0.522161,0.03265701943300462,0.044365849773595166,1.5194479564731653e-05,0.0012341737410901472,0.002851450665975804,5
183,HBDIS001890,16,7.280612,0.0035767811488520295,0.18368756150157292,0.057083771329592047,0.004241059718027526,0.11237745516286994,5
184,HBDIS001901,10,4.398699,0.0032745179531743934,0.1754399450881259,0.05153692527134115,0.0025578240412390423,0.1855175723915747,5
185,HBDIS001934,10,2.1832599999999998,0.013211420511076686,0.13538166427718865,0.012243602948539935,0.001858154115662833,0.05296187685829957,5
186,HBDIS001935,6,1.1707040000000002,0.004836211130842181,0.0998981035404844,0.0024476915797969753,0.0010527148708449295,0.0,5
187,HBDIS001937,12,5.133134,0.0007052807899144847,0.17866378246068784,0.055634724553373836,0.0031137710092376987,0.1570466741260723,5
188,HBDIS001964,7,2.789615,0.0004408004936965529,0.1607950309836178,0.02579476521916902,0.0017472642868665489,0.23405739074563459,5
189,HBDIS001973,12,4.134943000000001,0.002455888464880795,0.1694556454410223,0.035503565472313474,0.0027594365241360376,0.12457109029189643,5
190,HBDIS001990,8,0.990599,0.031007166156597522,0.07945735260357699,0.00036103042463072823,0.0013605194342826447,0.032412944577177034,5
191,HBDIS001992,5,0.734825,0.004672485233183461,0.07842412913458591,0.000470328783671678,0.0008344612534534849,0.0,5
192,HBDIS002001,5,3.387309,0.0,0.17632718205177308,0.0555337168586761,0.0017694111955912919,0.852442406163145,5
193,HBDIS002002,5,2.063176,0.0,0.1512782358811832,0.03243062543952665,0.0012283695400670425,0.6125179041626715,5
194,HBDIS002004,5,2.219419,0.0,0.15446959490518988,0.034720646404031386,0.001287493463977637,0.6430638532412726,5
195,HBDIS002026,5,0.7150209999999999,0.005856349416254203,0.0723817000274526,0.00017141961299990414,0.0008908218709292217,0.0371568161511275,5
196,HBDIS002027,7,2.8906970000000003,0.0008564123877533029,0.15689580106203338,0.014720020107974399,0.001819194641652676,0.14577693281028925,5
197,HBDIS002028,6,2.2882800000000003,0.00108310978451153,0.1394757134004644,0.008288227466418347,0.001505111048543927,0.0,5
198,HBDIS002035,5,1.7430980000000003,6.297149909950756e-05,0.14097530490908644,0.025047750083318148,0.0010994982041850107,0.5445177724832359,5
199,HBDIS002052,6,1.834633,0.0073676653946423845,0.1365317476060252,0.008746371964288593,0.0013268644550033359,0.032156983462492454,5
200,HBDIS002054,9,4.522437,0.0002644802962179318,0.18073413230809343,0.056433029527009675,0.0026009868919711736,0.28244917585396334,5
201,HBDIS002057,5,2.6114930000000003,0.0,0.16370293230584576,0.04280634306306482,0.0014500356466100271,0.7167273210222331,5
202,HBDIS002060,5,3.2601260000000005,0.0,0.17438771445814277,0.04894120878762522,0.001722485846998785,0.8299634572154634,5
203,HBDIS002069,5,2.502477,0.0,0.16188727591346816,0.03300143512664339,0.0014267554703080102,0.6237459212188299,5
204,HBDIS002070,5,0.279998,0.0,0.024086152521873905,6.620647012850301e-08,0.0013223828957241261,0.043626385784547306,5
205,HBDIS002071,5,3.616262,0.0,0.17946145604802777,0.05926582492955134,0.0018637738243753716,0.890423341400872,5
206,HBDIS002073,5,0.19935,0.02772005390360323,0.017763269837393503,4.197283453414093e-08,0.0010639968233235053,0.03297449446471337,5
207,HBDIS002077,9,4.128343000000001,0.00011334869837911361,0.17544828711953514,0.042113000651525144,0.0024840004330680216,0.22443179871527885,5
208,HBDIS002079,182,109.56207499999995,0.07893057602129278,0.21944211045159592,0.33076463254224725,0.05245056556758489,0.03387874704807257,5
209,HBDIS002089,5,3.1297120000000005,0.0,0.17183138551540675,0.04898033461537766,0.0016617417253625521,0.80865777417409,5
210,HBDIS002091,5,2.896718,0.0,0.1681324424586518,0.045327996019229676,0.0015659398965575581,0.7680074521009462,5
211,HBDIS002097,6,2.755297,7.556579891940908e-05,0.16234649183267022,0.040107961811981285,0.0015797856393076507,0.4717276837437421,5
212,HBDIS002102,5,2.1323109999999996,0.0,0.15298856333870817,0.030857689197814894,0.0012638405811435424,0.6222602998772911,5
213,HBDIS002103,6,1.5273140000000003,0.005604463419856173,0.11035863321301329,0.0030174847850139696,0.0012231543997957364,0.1145057600802392,5
