leaf,s
MESH:C535596,4.161139200000001
MESH:C535597,6.3158400000000015
MESH:C535598,12.247104000000006
MESH:C535600,2.9520000000000004
MESH:C535601,6.495040000000001
MESH:C535602,4.283200000000001
MESH:C535603,6.056000000000001
MESH:C535607,6.056
MESH:C535608,6.056
MESH:C535609,4.923200000000001
MESH:C535610,9.154880000000002
MESH:C535611,3.3616000000000006
MESH:C535612,6.788160000000001
MESH:C535613,12.238400000000006
MESH:C535615,10.486080000000003
MESH:C535616,14.223680000000007
MESH:C535617,12.668480000000004
MESH:C535618,5.723200000000001
MESH:C535619,3.6892800000000006
MESH:C535620,10.907200000000003
MESH:C535621,6.4028800000000015
MESH:C535622,12.150080000000004
MESH:C535623,9.974080000000002
MESH:C535624,7.508800000000003
MESH:C535625,12.764480000000006
MESH:C535626,4.283200000000001
MESH:C535627,12.289600000000005
MESH:C535629,6.1136
MESH:C535630,5.103424
MESH:C535631,9.425728000000003
MESH:C535632,14.300480000000006
MESH:C535633,6.512448000000002
MESH:C535634,7.675200000000002
MESH:C535635,9.564480000000003
MESH:C535636,4.9232000000000005
MESH:C535637,8.436800000000002
MESH:C535638,13.302080000000005
MESH:C535639,7.465024000000001
MESH:C535640,6.875200000000001
MESH:C535642,15.970880000000008
MESH:C535643,5.7232
MESH:C535644,11.223667200000001
MESH:C535645,8.296000000000001
MESH:C535646,18.91616000000001
MESH:C535647,3.3616000000000006
MESH:C535648,9.599040000000002
MESH:C535650,12.980800000000006
MESH:C535651,15.838784000000006
MESH:C535652,9.236800000000002
MESH:C535653,5.250880000000001
MESH:C535654,10.548339200000004
MESH:C535655,11.469939200000002
MESH:C535656,17.2632192
MESH:C535657,6.644339200000001
MESH:C535658,6.4656
MESH:C535659,6.4656
MESH:C535661,3.3616000000000006
MESH:C535662,5.7232
MESH:C535663,4.841280000000001
MESH:C535664,4.283200000000001
MESH:C535665,8.641600000000002
MESH:C535666,6.056000000000001
MESH:C535668,3.3616000000000006
MESH:C535669,3.6892800000000006
MESH:C535670,3.3616000000000006
MESH:C535672,3.3616
MESH:C535673,6.102848000000002
MESH:C535674,16.356160000000003
MESH:C535675,4.42656
MESH:C535676,13.424960000000002
MESH:C535677,12.489024
MESH:C535679,5.5440000000000005
MESH:C535680,4.104000000000001
MESH:C535681,4.9232000000000005
MESH:C535682,4.9232000000000005
MESH:C535683,8.022080000000003
MESH:C535684,8.187200000000002
MESH:C535686,4.104000000000001
MESH:C535687,8.412480000000002
MESH:C535688,6.347584000000002
MESH:C535689,9.985600000000003
MESH:C535690,5.25088
MESH:C535692,6.495040000000001
MESH:C535693,12.042560000000003
MESH:C535694,6.812480000000002
MESH:C535695,6.812480000000002
MESH:C535696,6.812480000000002
MESH:C535697,6.812480000000002
MESH:C535698,6.812480000000002
MESH:C535699,6.812480000000002
MESH:C535700,3.6892800000000006
MESH:C535701,13.430080000000006
MESH:C535702,4.5136
MESH:C535703,13.482560000000001
MESH:C535704,9.857600000000003
MESH:C535705,8.764480000000002
MESH:C535706,8.206400000000002
MESH:C535707,8.486720000000002
MESH:C535708,3.3616000000000006
MESH:C535709,9.087040000000002
MESH:C535710,6.840128000000001
MESH:C535711,6.840128000000001
MESH:C535712,6.840128000000001
MESH:C535713,10.520640000000002
MESH:C535714,6.484800000000002
MESH:C535715,5.353280000000001
MESH:C535716,11.585600000000003
MESH:C535717,7.508800000000001
MESH:C535718,16.386880000000005
MESH:C535719,14.465600000000006
MESH:C535720,7.515200000000001
MESH:C535721,4.873024000000001
MESH:C535722,6.235200000000001
MESH:C535723,7.905600000000003
MESH:C535724,11.777600000000003
MESH:C535725,10.346560000000004
MESH:C535726,10.716480000000004
MESH:C535727,12.750400000000003
MESH:C535728,3.3616
MESH:C535729,4.5136
MESH:C535730,6.465600000000002
MESH:C535731,9.583680000000003
MESH:C535733,17.968960000000006
MESH:C535734,8.436800000000002
MESH:C535735,5.462848000000001
MESH:C535736,10.716480000000002
MESH:C535737,11.575360000000003
MESH:C535738,8.534080000000003
MESH:C535739,4.688704
MESH:C535740,4.688704
MESH:C535741,4.688704
MESH:C535742,4.688704
MESH:C535743,4.688704
MESH:C535744,4.688704
MESH:C535745,4.688704
MESH:C535746,4.688704
MESH:C535747,4.688704
MESH:C535748,4.688704
MESH:C535749,4.688704
MESH:C535750,4.688704
MESH:C535751,7.115840000000001
MESH:C535752,7.202880000000001
MESH:C535753,4.688704
MESH:C535754,4.688704
MESH:C535755,4.688704
MESH:C535756,4.688704
MESH:C535757,13.896819200000003
MESH:C535758,5.25088
MESH:C535759,11.944000000000006
MESH:C535761,4.868928
MESH:C535762,3.6892800000000006
MESH:C535763,11.028800000000002
MESH:C535764,3.6892800000000006
MESH:C535765,4.688704000000001
MESH:C535766,4.923200000000001
MESH:C535767,4.610880000000001
MESH:C535768,12.744000000000002
MESH:C535769,5.313600000000001
MESH:C535770,10.836800000000002
MESH:C535771,8.846400000000001
MESH:C535772,6.484800000000002
MESH:C535773,15.054400000000006
MESH:C535774,20.726080000000007
MESH:C535775,7.976000000000001
MESH:C535776,9.271360000000001
MESH:C535777,4.283200000000001
MESH:C535779,6.953024000000001
MESH:C535780,9.345600000000003
MESH:C535781,3.6892800000000006
MESH:C535782,6.4656
MESH:C535783,7.284800000000002
MESH:C535784,7.208000000000002
MESH:C535785,18.644800000000004
MESH:C535786,4.923200000000001
MESH:C535787,8.417600000000002
MESH:C535788,4.923200000000001
MESH:C535789,4.923200000000001
MESH:C535790,7.515200000000003
MESH:C535791,4.923200000000001
MESH:C535792,8.206400000000002
MESH:C535793,9.467200000000002
MESH:C535794,4.923200000000001
MESH:C535795,4.923200000000001
MESH:C535796,4.923200000000001
MESH:C535797,4.923200000000001
MESH:C535798,4.923200000000001
MESH:C535799,4.923200000000001
MESH:C535800,7.617600000000001
MESH:C535801,7.924800000000001
MESH:C535802,2.9520000000000004
MESH:C535803,6.644800000000002
MESH:C535805,4.938560000000001
MESH:C535806,11.677760000000001
MESH:C535807,9.725760000000003
MESH:C535808,16.560704000000005
